Event Date,Start Time,End Time,Event Name,Event Description,Event Location,Admission
12/05/2010,10:00am,4:00pm,Great Train Extravaganza 2010,"The Upstate Train Associates and the Hudson-Berkshire Division of the National Model Railroad Association (NMRA) are proud to bring you the annual ""Great Train Extravaganza.""  This year marks the 75th Anniversary of the NMRA and we'll be celebrating at GTE 2010!  The ideal place to do your holiday shopping  there will be more than 200 tables of model trains  train sets  parts and accessories  scenery items  books  videos  DVDs  prints  railroad memorabilia and related items for sale.  In addition there will be educational displays and free seminars.  Attendees will be given free three month subscriptions to a leading model train magazine.  For more information go to our website www.gtealbany.com or call Dave Halverson at (518) 371-9164 or send e-mail to trains@gtealbany.com.",Convention Center,$5 Adults and Pre-Teens
12/04/2010,10:00am,3:00pm,Chanukah Booth,Sin datos,Bus Turn,Sin datos
12/04/2010,Sin datos,Sin datos,Toys for Tots,Collection for toys for tots,Concourse - Plaza Manager's Office,Sin datos
12/03/2010,10:00am,3:00pm,Chanukah Booth,Sin datos,Bus Turn,Sin datos
12/03/2010,12:00pm,1:30pm,Holiday School Music - Holy Names Academy,Sin datos,South Concourse - Performance Area,Sin datos
12/03/2010,8:00am,4:00pm,The Perfect Gift Craft Show,Sin datos,North Concourse,Sin datos
12/03/2010,Sin datos,Sin datos,Toys for Tots,Collection for toys for tots,Concourse - Plaza Manager's Office,Sin datos
12/02/2010,10:00am,3:00pm,Chanukah Booth,Sin datos,Bus Turn,Sin datos
12/02/2010,8:00am,4:00pm,The Perfect Gift Craft Show,Sin datos,North Concourse,Sin datos
12/02/2010,10:00am,2:00pm,Sr. Holiday Sale,Area seniors with handcrafted holiday gifts. Item include: Sewing  knitting  wood working  country crafts  jewelry  holiday decorations and children’s clothing.,South Concourse,Sin datos
12/02/2010,Sin datos,Sin datos,Toys for Tots,Collection for toys for tots,Concourse - Plaza Manager's Office,Sin datos
12/01/2010,8:00am,4:00pm,The Perfect Gift Craft Show,Sin datos,North Concourse,Sin datos
12/01/2010,Sin datos,Sin datos,Toys for Tots,Collection for toys for tots,Concourse - Plaza Manager's Office,Sin datos
12/01/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,North Concourse,Sin datos
12/01/2010,10:00am,2:00pm,Sr. Holiday Sale,Area seniors with handcrafted holiday gifts. Item include: Sewing  knitting  wood working  country crafts  jewelry  holiday decorations and children’s clothing.,South Concourse,Sin datos
12/01/2010,10:00am,3:00pm,Chanukah Booth,Sin datos,Bus Turn,Sin datos
11/30/2010,10:00am,3:00pm,Chanukah Booth,Sin datos,Bus Turn,Sin datos
11/30/2010,8:00am,4:00pm,The Perfect Gift Craft Show,Sin datos,North Concourse,Sin datos
11/24/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
11/19/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/18/2010,10:00 a.m.,2:00 p.m.,New York Harvest Maple Festival,Sin datos,South Concourse of the Empire State Plaza,Free
11/18/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/17/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,Bus Turn,Sin datos
11/17/2010,8:00am,3:00pm,OGS Benefits Day,Sin datos,Postal Corridor,Sin datos
11/17/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/16/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/15/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/14/2010,12:00pm,5:00pm,Pride of New York Harvest Fest,Make plans to attend the 2010 Pride of New York Harvest Fest where you will enjoy complimentary sampling and purchasing of the best food  wine and beer from New York growers and producers.  For more information  go to www.prideofnyharvestfest.com.,Convention Hall,Sin datos
11/14/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/13/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/13/2010,10:00am,5:00pm,Pride of New York Harvest Fest,Make plans to attend the 2010 Pride of New York Harvest Fest where you will enjoy complimentary sampling and purchasing of the best food  wine and beer from New York growers and producers.  For more information  go to www.prideofnyharvestfest.com.,Convention Hall,Sin datos
11/12/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/11/2010,10:00am,4:00pm,Freedom's Treasures,A Special Exhibition of Historical Artifacts.  Registration required for tour on Wednesday  November 10th only.   Visit  www. ogs.state.ny.us  for more details,New York State Capitol,free
11/11/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/10/2010,8:00am,3:00pm,Bag Ali Pocketbook Sales,Sin datos,North Concorse,Sin datos
11/10/2010,Sin datos,Sin datos,Heart Gallery,Information on adoption and foster care,South Concourse,Sin datos
11/10/2010,10:00am,4:00pm,Freedom's Treasures,A Special Exhibition of Historical Artifacts.  Registration required for tour on Wednesday  November 10th only.   Visit  www. ogs.state.ny.us  for more details,New York State Capitol,free
11/10/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
11/10/2010,10:00am,3:00pm,Liberty Mutual Info Table,Sin datos,Postal Corridor,Sin datos
11/09/2010,8:00am,3:00pm,Bag Ali Pocketbook Sale,Sin datos,Bus Turn,Sin datos
11/07/2010,Sin datos,Sin datos,Ski and Snowboard Expo,Sin datos,Convention Center,Sin datos
11/07/2010,11:00am,5:00pm,2010 Auto Show,Over 160 new vehicles (cars  trucks  minivans  & SUV's) representing 30 manufacturers and exhibitor booths featuring auto-related exhibitor products and services.,Empire State Plaza - Concourse,Sin datos
11/06/2010,10:00am,8:00pm,2010 Auto Show,Over 160 new vehicles (cars  trucks  minivans  & SUV's) representing 30 manufacturers and exhibitor booths featuring auto-related exhibitor products and services.,Empire State Plaza - Concourse,Sin datos
11/06/2010,Sin datos,Sin datos,Ski and Snowboard Expo,Sin datos,Convention Center,Sin datos
11/05/2010,Sin datos,Sin datos,Ski and Snowboard Expo,Sin datos,Convention Center,Sin datos
11/05/2010,9:00am,9:00pm,2010 Auto Show,Over 160 new vehicles (cars  trucks  minivans  & SUV's) representing 30 manufacturers and exhibitor booths featuring auto-related exhibitor products and services.,Empire State Plaza - Concourse,Sin datos
11/04/2010,10:00am,2:00pm,Aids Book Sale,Sin datos,South Concourse,Sin datos
11/03/2010,10:00am,5:00pm,Aids Book Sale,Sin datos,South Concourse,Sin datos
11/03/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,North Concourse,Sin datos
11/02/2010,10:00am,5:00pm,Aids Book Sale,Sin datos,South Concourse,Sin datos
10/29/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/29/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/28/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/28/2010,10:00am,3:00pm,2010 Mystic Fair at the Plaza,Anticipated services include  but are not limited to  tarot card readers  angel readers  psychics  dream interpreters and astrologists.  The Mystic Fair offers providers of holistic goods and services for healthy living  visionary arts and music  massage and healing  mind  body  spirit  gems and seasonal items.  For more information  contact Sandy Zehner at 518-474-4759 or email sandy.zehner@ogs.state.ny.us,South Concourse,Sin datos
10/28/2010,8:00am,3:00pm,Met Life Informational Table,Sin datos,Bus Turn,Sin datos
10/28/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/27/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/27/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/27/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
10/27/2010,10:00am,3:00pm,2010 Mystic Fair at the Plaza,Anticipated services include  but are not limited to  tarot card readers  angel readers  psychics  dream interpreters and astrologists.  The Mystic Fair offers providers of holistic goods and services for healthy living  visionary arts and music  massage and healing  mind  body  spirit  gems and seasonal items.  For more information  contact Sandy Zehner at 518-474-4759 or email sandy.zehner@ogs.state.ny.us,South Concourse,Sin datos
10/26/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/26/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/25/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/25/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/24/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/23/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/22/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
10/22/2010,10:00am,2:00pm,"Little Debbie ""Million Smiles"" Sampling Tour",The Little Debbie Million Smile Mission is hitting the streets – and soon you’ll get to check it out in Albany! We’re taking the Million Smile Mission Airstream travel trailer from coast to coast is in search of a million faces to help make up the national Little Debbie photo mosaic portrait. The tour will make stops at grocery stores and other public places in 23 cities  so there are plenty of chances for you to share your smile  become part of this amazing online masterpiece  check out this sweet ride and try some tasty treats!,Empire State Plaza - Outside Mosaic,Sin datos
10/22/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/21/2010,10:00am,3:00pm,Met Life Informational Table,Sin datos,Bus Turn,Sin datos
10/21/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/20/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,Bus Turn,Sin datos
10/20/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/20/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
10/19/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/19/2010,10:00am,3:00pm,Pearl Carroll & Associates Informational Table,Sin datos,Bus Turn,Sin datos
10/18/2010,8:00am,5:00pm,United Nations Art Display,Sin datos,South Concourse,Sin datos
10/15/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/15/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
10/14/2010,10:00 a.m.,2:00 p.m.,Empire State Plaza Oktoberfest,Sin datos,South Concourse of the Empire State Plaza,Free
10/14/2010,10:00am,3:00pm,Met Life Informational Table,Sin datos,Bus Turn,Sin datos
10/14/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/13/2010,10:00am,3:00pm,Liberty Mutual Info Table,Sin datos,Postal Corridor,Sin datos
10/13/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
10/13/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/13/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
10/12/2010,7:00am,5:00pm,LaSalle Mustang Car Raffle,Sin datos,North Concourse,Sin datos
10/08/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
10/06/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,North Concourse,Sin datos
10/06/2010,8:00 AM,3:00 PM,SEFA Fair,Sin datos,North Concourse,Sin datos
10/06/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
10/05/2010,11:00am,12:30pm,Fire Fighter's Memorial,Sin datos,Outside Plaza,Sin datos
10/02/2010,7:30 a.m.,Sin datos,The 16th Annual Susan G. Komen Race for the Cure,16th Annual 5K Run  2 - Mile Family Walk and Sleep-In for the Cure.  For additional information  call (518) 250-5379 or www.komenneny.org.,Empire State Plaza,Sin datos
10/01/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/30/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/29/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
09/29/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/29/2010,9:00am,3:00pm,OGS Benefits Day,Sin datos,Postal Corridor,Sin datos
09/29/2010,10:00am,1:30pm,31st Annual Getaway Travel Show,for more information visit    www.destinationsny.com,North Concourse,Sin datos
09/29/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/28/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse,Sin datos
09/28/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/27/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/26/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/25/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/24/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/24/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/23/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/22/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/22/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,Bus Turn,Sin datos
09/22/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/21/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse,Sin datos
09/21/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/20/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/19/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/18/2010,3:00pm,8:00pm,Hannaford Hispanic Heritage Celebration,Hannaford Presents  Hispanic Heritage Celebration,Outside Plaza,Sin datos
09/18/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/17/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/17/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/17/2010,10:00am,Sin datos,NYS Disaster Preparedness Commission - Public Meeting,PUBLIC MEETING ANNOUNCEMENT - The semi-annual meeting of the New York State Disaster Preparedness Commission,Meeting Room 5,Sin datos
09/16/2010,10:00am,5:00pm,Aids Book Sale,Sin datos,South Concourse,Sin datos
09/16/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/15/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
09/15/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/15/2010,10:00am,5:00pm,Aids Book Sale,Sin datos,South Concourse,Sin datos
09/15/2010,10:00am,3:00pm,Liberty Mutual Info Table,Sin datos,Postal Corridor,Sin datos
09/15/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/14/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/14/2010,9:00am,5:00pm,Aids Book Sale,Sin datos,South Concourse,Sin datos
09/14/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse,Sin datos
09/13/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/12/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/11/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/10/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/10/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/09/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/08/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,North Concourse,Sin datos
09/08/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/08/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/07/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse,Sin datos
09/07/2010,9:00am,5:00pm,OASAS Fine Arts Display,Sin datos,South Concourse,Sin datos
09/03/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/02/2010,8:00am,4:00pm,DOH Blood Drive,Sin datos,Postal Corridor,Sin datos
09/01/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
09/01/2010,8:00am,4:00pm,DOH Blood Drive,Sin datos,Postal Corridor,Sin datos
09/01/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
08/27/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/26/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,Bus Turn,Sin datos
08/25/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/25/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,Bus Turn,Sin datos
08/24/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse - Liberty Café,Sin datos
08/20/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/19/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,Bus Turn,Sin datos
08/18/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
08/18/2010,11:00am,9:00pm,At The Plaza Food Festival,At The Plaza Food Festival featuring The Smithereens and Super 400,Outside Plaza,Sin datos
08/18/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/17/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse - Liberty Café,Sin datos
08/13/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/12/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,Bus Turn,Sin datos
08/11/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/11/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,North Concourse,Sin datos
08/11/2010,10:00am,2:00pm,Kaplan Test Prep Information Table,Sin datos,Outside Plaza/Mosaic,Sin datos
08/10/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse - Liberty Café,Sin datos
08/08/2010,10:00am,3:00pm,Liberty Mutual Info Table,Sin datos,Postal Corridor,Sin datos
08/07/2010,12:00pm,7:00pm,McDonalds African American Family Day,McDonald's African American Family Day Featuring  Antonia Brown  Too Deep Entertainment and a Michael Jackson Tribute by MG Jackson,Outside Plaza,Sin datos
08/06/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
08/06/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/05/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
08/05/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,Bus Turn,Sin datos
08/04/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
08/04/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
08/04/2010,10:00am,2:00pm,Deferred Comp Information Table,Sin datos,Postal Corridor,Sin datos
08/03/2010,11:00am,2:00pm,AARP Information Table,Sin datos,Plaza - Mosaic (rain space will be South Concourse),Sin datos
08/03/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
08/03/2010,11:30am,12:30pm,NYS Office for the Aging Press Conference,75th Anniversary of Social Security,Outside Plaza - Mosaic  (rain location - South Concourse),Sin datos
08/03/2010,10:00am,2:00pm,Met Life Information Table,Sin datos,North Concourse - Liberty Café,Sin datos
08/02/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
07/30/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
07/30/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
07/29/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
07/28/2010,9:00am,4:00pm,Dept of Health - Sun Cancer Awareness,Sin datos,South Concourse,Sin datos
07/28/2010,10:00am,2:00pm,NYS Deferred Comp Information Table,Sin datos,Bus Turn,Sin datos
07/28/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
07/23/2010,10:00am,2:00pm,Summer Farmer's Market,Sin datos,Outside Plaza (Rain or Shine),Sin datos
07/22/2010,10:00am,2:00pm,Weekly Craft/ Merchandise Show,Sin datos,Bus Turn/South Concourse,Sin datos
